date,campaign_name,channel,impressions,clicks,cost,conversions,revenue
2026-03-10,Google Search - Brand,Google Search,23129,1758,2016.71,81,4983.85
2026-03-10,Google Search - NonBrand,Google Search,57381,1146,2722.7,23,3381.91
2026-03-10,Google - Performance Max,Performance Max,131600,1927,3081.81,43,5396.04
2026-03-10,YouTube - Brand Awareness,YouTube,271062,820,719.2,0,304.58
2026-03-10,YouTube - Prospecting,YouTube,91532,553,574.58,2,483.69
2026-03-10,Meta Ads - Prospecting,Meta,79102,983,1852.49,22,3222.96
2026-03-10,Meta Ads - Retargeting,Meta,18601,484,447.5,27,1376.86
2026-03-10,Meta - Lookalike 1%,Meta,45506,447,864.14,8,1135.9
2026-03-10,Bing Search - Brand,Bing,5697,337,311.12,13,730.3
2026-03-10,Bing Search - NonBrand,Bing,13436,209,375.34,3,349.49
2026-03-10,Google Search - Competitors,Google Search,22762,283,1342.4,2,713.83
2026-03-10,Meta Ads - Video Stories,Meta,40055,690,884.74,10,983.65
2026-03-11,Google Search - Brand,Google Search,22537,1824,2303.78,88,5508.8
2026-03-11,Google Search - NonBrand,Google Search,62204,1297,3370.6,24,4357.69
2026-03-11,Google - Performance Max,Performance Max,120319,1763,2565.94,40,4444.52
2026-03-11,YouTube - Brand Awareness,YouTube,311327,897,661.66,0,252.0
2026-03-11,YouTube - Prospecting,YouTube,103556,621,750.04,2,587.32
2026-03-11,Meta Ads - Prospecting,Meta,79584,986,1896.62,23,2996.78
2026-03-11,Meta Ads - Retargeting,Meta,18545,456,456.41,26,1554.47
2026-03-11,Meta - Lookalike 1%,Meta,50860,519,1023.98,8,1254.2
2026-03-11,Bing Search - Brand,Bing,6135,361,310.78,15,731.36
2026-03-11,Bing Search - NonBrand,Bing,15628,240,418.9,3,408.24
2026-03-11,Google Search - Competitors,Google Search,20020,243,1051.68,1,506.44
2026-03-11,Meta Ads - Video Stories,Meta,39948,739,1123.79,11,1349.2
2026-03-12,Google Search - Brand,Google Search,25198,2057,2414.81,102,6198.82
2026-03-12,Google Search - NonBrand,Google Search,56766,1157,3101.36,22,3964.26
2026-03-12,Google - Performance Max,Performance Max,112203,1623,2552.54,36,4981.62
2026-03-12,YouTube - Brand Awareness,YouTube,297765,913,672.08,0,284.9
2026-03-12,YouTube - Prospecting,YouTube,98632,589,605.84,3,484.96
2026-03-12,Meta Ads - Prospecting,Meta,76677,888,1645.91,20,2397.96
2026-03-12,Meta Ads - Retargeting,Meta,19901,472,441.09,29,1322.03
2026-03-12,Meta - Lookalike 1%,Meta,45618,461,908.3,8,1166.59
2026-03-12,Bing Search - Brand,Bing,6448,389,327.79,14,712.91
2026-03-12,Bing Search - NonBrand,Bing,15573,232,387.51,3,409.39
2026-03-12,Google Search - Competitors,Google Search,23275,270,1183.69,2,541.47
2026-03-12,Meta Ads - Video Stories,Meta,43054,733,1080.32,11,1247.01
2026-03-13,Google Search - Brand,Google Search,26780,2220,2557.68,101,5810.69
2026-03-13,Google Search - NonBrand,Google Search,56898,1169,3160.14,22,3792.0
2026-03-13,Google - Performance Max,Performance Max,131027,1962,3084.75,41,5799.26
2026-03-13,YouTube - Brand Awareness,YouTube,279975,850,676.3,0,275.27
2026-03-13,YouTube - Prospecting,YouTube,103031,604,669.27,2,495.75
2026-03-13,Meta Ads - Prospecting,Meta,77660,910,1728.7,20,3031.39
2026-03-13,Meta Ads - Retargeting,Meta,18296,448,403.52,25,1194.25
2026-03-13,Meta - Lookalike 1%,Meta,44823,441,870.79,7,965.38
2026-03-13,Bing Search - Brand,Bing,6465,388,373.97,14,898.32
2026-03-13,Bing Search - NonBrand,Bing,14122,203,396.42,2,373.56
2026-03-13,Google Search - Competitors,Google Search,19817,244,1034.4,2,495.0
2026-03-13,Meta Ads - Video Stories,Meta,45930,831,1225.51,12,1224.66
2026-03-14,Google Search - Brand,Google Search,16012,1323,1510.49,64,3424.16
2026-03-14,Google Search - NonBrand,Google Search,44276,921,2530.0,17,3473.2
2026-03-14,Google - Performance Max,Performance Max,88422,1262,1968.91,26,3705.16
2026-03-14,YouTube - Brand Awareness,YouTube,196081,610,492.88,0,197.56
2026-03-14,YouTube - Prospecting,YouTube,63470,389,397.0,1,325.94
2026-03-14,Meta Ads - Prospecting,Meta,47575,576,1133.19,15,1830.96
2026-03-14,Meta Ads - Retargeting,Meta,11288,294,298.08,18,983.0
2026-03-14,Meta - Lookalike 1%,Meta,35642,360,734.33,5,850.13
2026-03-14,Bing Search - Brand,Bing,4001,246,209.27,10,464.89
2026-03-14,Bing Search - NonBrand,Bing,8927,134,236.11,1,248.02
2026-03-14,Google Search - Competitors,Google Search,15657,196,828.0,1,441.69
2026-03-14,Meta Ads - Video Stories,Meta,28130,478,691.73,7,709.02
2026-03-15,Google Search - Brand,Google Search,18063,1373,1543.77,71,3521.06
2026-03-15,Google Search - NonBrand,Google Search,43313,839,2173.27,16,2701.4
2026-03-15,Google - Performance Max,Performance Max,81923,1282,2048.23,31,3520.68
2026-03-15,YouTube - Brand Awareness,YouTube,210220,619,522.4,0,206.69
2026-03-15,YouTube - Prospecting,YouTube,68988,419,439.89,2,325.32
2026-03-15,Meta Ads - Prospecting,Meta,48832,595,1121.44,15,1717.76
2026-03-15,Meta Ads - Retargeting,Meta,12480,296,279.88,19,935.09
2026-03-15,Meta - Lookalike 1%,Meta,32707,323,612.07,5,734.39
2026-03-15,Bing Search - Brand,Bing,3746,217,180.85,8,397.98
2026-03-15,Bing Search - NonBrand,Bing,9535,147,265.83,2,258.87
2026-03-15,Google Search - Competitors,Google Search,13840,172,721.22,1,356.56
2026-03-15,Meta Ads - Video Stories,Meta,28442,492,699.47,7,732.56
2026-03-16,Google Search - Brand,Google Search,25553,2139,2818.48,99,6565.68
2026-03-16,Google Search - NonBrand,Google Search,65367,1304,3128.15,26,3806.05
2026-03-16,Google - Performance Max,Performance Max,125588,1895,2878.75,37,4784.92
2026-03-16,YouTube - Brand Awareness,YouTube,307046,885,637.91,0,274.2
2026-03-16,YouTube - Prospecting,YouTube,97123,562,629.51,2,514.34
2026-03-16,Meta Ads - Prospecting,Meta,68843,784,1451.16,18,2134.93
2026-03-16,Meta Ads - Retargeting,Meta,18014,472,504.14,30,1683.51
2026-03-16,Meta - Lookalike 1%,Meta,45917,445,974.61,7,1087.95
2026-03-16,Bing Search - Brand,Bing,5730,358,333.57,14,714.28
2026-03-16,Bing Search - NonBrand,Bing,15145,237,427.73,3,405.62
2026-03-16,Google Search - Competitors,Google Search,21427,246,1076.75,2,518.64
2026-03-16,Meta Ads - Video Stories,Meta,44315,784,1052.05,12,1132.18
2026-03-17,Google Search - Brand,Google Search,25968,1985,2583.68,91,6212.72
2026-03-17,Google Search - NonBrand,Google Search,61762,1208,3047.22,25,4028.22
2026-03-17,Google - Performance Max,Performance Max,113967,1785,2866.88,36,5282.29
2026-03-17,YouTube - Brand Awareness,YouTube,332099,954,821.3,0,315.31
2026-03-17,YouTube - Prospecting,YouTube,106356,632,650.39,3,477.43
2026-03-17,Meta Ads - Prospecting,Meta,76732,959,1891.71,25,3148.32
2026-03-17,Meta Ads - Retargeting,Meta,17842,436,452.19,26,1485.54
2026-03-17,Meta - Lookalike 1%,Meta,54109,534,1171.31,9,1395.91
2026-03-17,Bing Search - Brand,Bing,6780,400,324.4,14,745.65
2026-03-17,Bing Search - NonBrand,Bing,15667,243,405.56,3,428.75
2026-03-17,Google Search - Competitors,Google Search,22796,283,1353.24,2,726.91
2026-03-17,Meta Ads - Video Stories,Meta,40485,709,967.66,11,1169.23
2026-03-18,Google Search - Brand,Google Search,24246,1946,2225.25,101,5412.55
2026-03-18,Google Search - NonBrand,Google Search,68070,1307,3351.97,25,4027.05
2026-03-18,Google - Performance Max,Performance Max,131512,1971,3038.47,43,5612.75
2026-03-18,YouTube - Brand Awareness,YouTube,328126,944,684.84,0,275.16
2026-03-18,YouTube - Prospecting,YouTube,103428,622,658.69,3,505.38
2026-03-18,Meta Ads - Prospecting,Meta,70788,879,1701.29,23,2611.53
2026-03-18,Meta Ads - Retargeting,Meta,18454,471,442.03,29,1325.99
2026-03-18,Meta - Lookalike 1%,Meta,47927,466,1009.91,8,1221.06
2026-03-18,Bing Search - Brand,Bing,6855,401,362.8,16,725.28
2026-03-18,Bing Search - NonBrand,Bing,14801,215,407.81,3,442.5
2026-03-18,Google Search - Competitors,Google Search,24494,283,1177.77,2,577.67
2026-03-18,Meta Ads - Video Stories,Meta,47484,808,1233.27,12,1399.31
2026-03-19,Google Search - Brand,Google Search,24509,1869,2294.17,92,5267.21
2026-03-19,Google Search - NonBrand,Google Search,60531,1163,2962.18,21,4139.97
2026-03-19,Google - Performance Max,Performance Max,118284,1779,2920.98,38,5456.29
2026-03-19,YouTube - Brand Awareness,YouTube,323420,988,773.62,1,286.74
2026-03-19,YouTube - Prospecting,YouTube,92085,578,632.09,2,492.6
2026-03-19,Meta Ads - Prospecting,Meta,83110,1022,1961.69,24,2964.06
2026-03-19,Meta Ads - Retargeting,Meta,19763,494,490.45,29,1467.63
2026-03-19,Meta - Lookalike 1%,Meta,51176,528,954.25,9,1254.55
2026-03-19,Bing Search - Brand,Bing,5921,351,289.04,12,586.35
2026-03-19,Bing Search - NonBrand,Bing,13998,204,338.08,3,362.51
2026-03-19,Google Search - Competitors,Google Search,24353,305,1250.82,2,645.77
2026-03-19,Meta Ads - Video Stories,Meta,43683,758,961.41,11,1027.26
2026-03-20,Google Search - Brand,Google Search,26060,2066,2513.54,93,6668.63
