date,campaign_name,channel,impressions,clicks,cost,conversions,revenue,search_query,keyword,match_type,installs,impression_share,lost_is_budget,lost_is_rank,avg_position,top_impression_share,absolute_top_impression_share,device,country,campaign_budget,monthly_budget,target_cpa,target_roas,target_cpi,conversion_value,estimated_ltv,margin
2026-01-01,Google Search - Brand,Google Search,2886,74,135.97,5,490.53,,,,5,0.7,0.02,0.28,1.93,0.77,0.49,Desktop,United Kingdom,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-01,Google Search - Brand,Google Search,244,5,4.25,0,0.0,forecastiq,forecastiq,exact,0,0.7,0.02,0.28,2.0,0.77,0.49,Mobile,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-01,Google Search - Brand,Google Search,351,16,26.13,1,93.42,forecastiq pricing,forecastiq,phrase,1,0.7,0.02,0.28,1.63,0.77,0.49,Desktop,United States,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-01,Google Search - Brand,Google Search,351,11,10.31,1,99.88,forecastiq software reviews,forecastiq,broad,1,0.7,0.02,0.28,2.42,0.77,0.49,Desktop,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-01,Google Search - Brand,Google Search,262,6,7.16,0,0.0,forecastiq login portal,forecastiq,phrase,0,0.7,0.02,0.28,2.99,0.77,0.49,Desktop,Germany,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-01,Google Search - NonBrand,Google Search,1680,120,258.03,5,288.13,,,,5,0.768,0.17,0.128,2.41,0.845,0.538,Tablet,United States,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-01,Google Search - NonBrand,Google Search,179,4,3.95,0,0.0,paid ads forecasting tool,forecasting tool,phrase,0,0.768,0.17,0.128,1.72,0.845,0.538,Tablet,Germany,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-01,Google Search - NonBrand,Google Search,231,8,7.42,1,57.77,marketing forecasting software,forecasting tool,exact,1,0.768,0.17,0.128,3.01,0.845,0.538,Mobile,Germany,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-01,Google Search - NonBrand,Google Search,211,13,10.58,3,173.9,ppc budget optimization planner,budget optimization,broad,3,0.768,0.17,0.128,3.2,0.845,0.538,Desktop,United Kingdom,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-01,Google Search - NonBrand,Google Search,236,5,16.76,0,0.0,ads forecasting template excel,forecasting tool,broad,0,0.768,0.17,0.128,1.91,0.845,0.538,Mobile,United States,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-01,Google Search - Competitors,Google Search,2128,38,89.59,1,36.87,,,,1,0.754,0.071,0.157,3.15,0.83,0.528,Mobile,United Kingdom,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-01,Google Search - Competitors,Google Search,231,15,33.22,0,0.0,semrush forecasting tool alternative,semrush,phrase,0,0.754,0.071,0.157,2.09,0.83,0.528,Desktop,Canada,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
